,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
2490,2,52.31,1,0,2,1,2,1,1
16970,1,238.53,1,0,2,1,1,1,0
33886,5,140.4,0,1,2,0,2,0,0
1586,1,401.73,1,0,2,0,2,1,0
28811,5,43.06,1,0,1,0,2,-1,0
59578,1,73.49,1,0,1,1,2,1,0
58611,1,360.5,1,1,1,1,1,0,0
4505,4,31.06,0,1,2,1,1,0,0
44267,12,122.55,1,0,2,1,1,1,0
49406,7,442.56,0,1,2,1,1,-1,0
4314,3,31.29,0,1,3,0,2,-1,1
36141,1,982.51,0,1,1,1,2,0,0
57775,1,53.03,0,1,1,1,1,-1,1
31544,1,238.53,1,0,1,1,1,1,1
48327,7,67.71,0,1,1,0,1,-1,0
40107,4,360.73,1,0,2,1,1,-1,0
58240,10,176.06,1,0,1,1,1,1,0
18112,10,83.04,0,1,3,0,1,1,1
22774,1,706.04,0,1,2,1,1,1,1
2140,10,330.55,0,1,3,0,1,-1,0
28331,1,210.03,1,0,1,1,3,1,0
46700,1,179.77,1,0,2,1,2,0,1
34688,10,69.71,0,1,1,0,2,1,0
10566,10,241.52,0,1,2,0,1,0,1
61810,1,404.72,1,0,2,0,1,1,0
48716,8,832.42,1,1,2,1,2,-1,1
8347,4,100.7,0,1,2,0,1,-1,0
32587,7,65.62,1,0,1,0,1,-1,0
54769,9,101.95,1,0,1,1,1,-1,0
36093,10,369.31,1,0,2,1,1,1,0
51427,6,81.39,0,1,3,0,2,1,1
38399,1,217.96,0,1,1,1,2,-1,0
47688,1,100.03,1,0,2,0,1,1,0
55010,7,396.9,1,0,1,0,3,-1,0
36515,5,65.86,1,0,1,1,1,0,0
9919,3,483.21,1,0,1,0,3,-1,0
48534,7,39.01,0,1,2,0,1,0,0
19998,5,328.35,1,0,3,0,2,1,0
51968,10,129.78,1,0,2,1,2,0,0
59520,9,29.99,0,1,1,0,1,-1,0
35064,3,139.0,0,1,1,0,1,1,0
7516,3,494.64,0,1,3,0,1,1,0
10538,2,29.99,1,0,2,0,2,-1,0
19337,3,348.78,1,1,2,0,2,-1,0
59208,10,36.91,1,0,1,0,2,-1,0
373,7,340.18,0,1,2,0,2,0,0
37665,5,63.19,1,0,1,1,1,1,0
4890,1,380.55,0,1,3,0,1,1,0
7271,3,251.57,0,1,1,0,1,-1,0
13013,5,335.04,0,1,1,1,1,1,0
55831,11,169.79,0,1,3,0,2,-1,0
2476,7,29.99,0,1,1,1,1,-1,0
59280,11,445.34,0,1,1,1,2,0,0
52019,1,44.65,1,0,3,1,2,0,0
1007,1,399.54,1,0,2,0,2,1,1
53470,2,168.42,0,1,2,0,2,0,0
49466,9,106.99,1,0,1,1,2,1,0
29720,10,29.99,1,0,3,1,2,0,0
21345,6,63.58,0,1,1,0,1,-1,0
5044,3,258.25,1,0,2,0,2,-1,0
23939,11,211.7,1,0,2,1,3,-1,0
10811,6,29.99,1,0,2,0,2,1,0
47933,1,255.14,1,0,1,0,1,-1,1
57204,8,29.99,1,0,2,0,1,1,0
46371,1,583.53,1,0,3,1,2,-1,1
38871,4,154.85,0,1,1,0,2,0,0
25023,4,29.99,0,1,2,1,1,0,0
29906,9,177.64,1,0,1,1,1,0,0
10943,10,247.9,1,0,1,1,1,1,0
35355,2,984.05,1,0,1,1,3,-1,0
36682,4,29.99,1,0,1,1,2,0,0
26471,8,1161.95,1,1,1,1,3,1,0
4878,11,29.99,1,0,2,1,2,0,0
44450,1,605.3,0,1,3,1,3,1,0
54670,10,69.1,1,0,1,1,1,-1,0
397,3,68.81,0,1,2,0,2,-1,0
26784,6,29.99,1,0,3,0,1,-1,1
21012,2,315.15,1,0,2,1,1,0,0
4336,3,37.46,1,0,2,1,2,0,0
8974,10,48.06,1,0,1,1,2,1,0
47670,1,323.78,0,1,1,0,1,-1,0
62066,4,184.63,0,1,2,0,2,1,0
6367,3,217.14,0,1,3,0,2,-1,1
49204,11,125.02,1,0,1,1,2,0,0
61111,10,249.63,1,0,3,0,2,0,0
3277,10,134.16,1,0,1,1,2,1,0
7067,6,56.5,1,0,1,1,2,1,0
24175,1,633.25,1,0,2,1,2,0,0
31319,1,306.84,1,0,3,1,2,0,0
19932,4,65.83,1,0,2,0,1,0,0
17204,7,340.77,1,1,1,0,2,-1,1
5028,3,391.33,1,1,2,1,1,0,0
6849,10,248.83,1,0,1,1,1,0,0
26633,4,29.99,0,1,1,1,2,0,0
25742,1,628.93,1,0,1,1,1,1,0
63863,9,159.35,1,0,2,1,1,-1,0
20389,2,393.82,0,1,2,0,1,0,0
43168,1,29.99,0,1,1,1,1,0,0
18802,4,36.95,1,0,2,1,1,-1,0
12970,1,407.87,0,1,1,0,2,-1,0
32002,5,160.68,0,1,1,0,1,-1,0
52211,2,34.32,0,1,1,0,2,-1,1
51861,10,424.94,0,1,1,0,1,-1,0
27842,2,764.86,0,1,2,1,1,1,0
5356,3,669.75,1,1,2,1,3,-1,1
38002,6,131.18,0,1,1,1,2,1,0
49451,2,138.68,0,1,3,0,1,0,0
8397,10,90.84,1,0,2,0,2,0,0
24047,8,107.93,0,1,1,1,1,1,0
49443,10,51.01,0,1,1,0,1,-1,1
16417,1,74.54,1,0,3,0,2,-1,1
41927,1,598.01,0,1,3,1,3,0,0
58064,4,245.24,0,1,1,1,3,0,1
63979,10,168.21,0,1,1,0,2,0,0
57542,4,29.99,1,0,1,1,2,0,1
63502,12,298.9,1,1,1,0,2,-1,1
2944,6,167.39,1,0,1,0,1,-1,0
54598,3,30.49,1,0,2,1,1,0,1
53590,1,150.27,1,0,1,0,1,0,0
40262,2,1300.9,0,1,1,1,2,-1,0
15397,1,927.68,1,1,1,1,1,-1,0
40213,3,212.14,1,0,2,1,3,0,0
33825,6,673.2,1,1,2,1,2,0,0
24084,6,67.6,1,0,1,1,1,0,0
60351,8,117.29,1,0,1,1,1,1,0
31400,6,77.17,0,1,1,0,2,0,0
61276,1,180.64,1,0,1,0,2,1,0
5989,10,61.43,0,1,2,1,1,1,0
61933,10,948.43,0,1,1,1,1,-1,0
7026,9,144.58,0,1,3,0,1,1,0
3207,10,46.19,0,1,3,1,2,-1,0
23639,1,246.47,1,0,2,0,2,1,0
642,2,44.37,0,1,1,0,1,-1,0
34783,4,1017.67,1,0,1,1,3,1,1
35329,3,154.0,1,0,3,0,1,1,0
36571,2,238.08,1,0,2,1,2,-1,0
28277,10,268.45,0,1,1,1,1,1,0
33981,10,53.42,0,1,1,1,1,0,0
56403,10,29.99,1,0,1,0,2,1,0
20522,7,266.47,1,0,1,0,1,1,0
46352,1,192.41,0,1,1,0,1,0,0
5532,1,181.19,0,1,1,1,2,1,0
14466,10,49.15,1,0,1,1,1,1,0
31766,1,29.99,0,1,2,0,1,-1,0
17446,8,92.18,1,0,2,0,1,0,0
31049,10,277.93,0,1,1,0,2,1,0
14564,6,163.75,0,1,1,0,1,0,0
46517,7,129.61,0,1,2,0,2,-1,0
3431,7,214.39,0,1,2,0,2,0,0
5554,2,270.15,1,1,1,1,2,0,0
7211,1,29.99,1,0,1,1,1,0,0
11071,7,109.6,1,0,2,0,1,-1,0
5553,8,440.86,1,0,2,0,2,1,0
30046,7,33.84,0,1,3,0,2,0,0
3639,9,139.3,1,0,1,1,2,-1,0
41019,2,50.88,1,0,3,0,2,1,0
49913,4,241.6,0,1,2,0,2,0,0
2402,5,29.99,0,1,1,0,1,-1,0
1909,5,29.99,0,1,2,1,1,0,1
8596,10,29.99,1,0,1,0,1,0,0
1040,11,134.41,1,0,1,1,2,-1,0
84,1,80.42,0,1,2,1,2,1,0
21756,8,108.83,1,0,2,0,2,0,0
40626,3,231.44,1,0,2,0,1,0,1
44756,11,64.49,0,1,1,1,2,1,0
40761,7,76.89,1,0,1,1,1,1,0
33639,12,77.93,0,1,1,0,1,0,0
7,9,46.42,0,1,2,0,2,1,0
27007,12,37.21,0,1,3,0,2,1,0
35311,1,29.99,1,0,1,1,1,0,0
57841,11,61.56,0,1,2,1,2,0,0
46789,10,62.24,0,1,3,1,1,1,1
60431,4,160.92,0,1,1,0,1,-1,0
35776,7,166.71,0,1,2,0,2,1,0
45959,9,57.54,1,0,1,0,2,1,0
3952,10,258.33,0,1,1,1,1,0,0
54880,5,58.54,0,1,1,0,2,0,0
5520,1,1065.11,1,1,2,1,2,0,0
13723,2,97.45,0,1,1,0,1,1,0
26150,3,686.93,1,1,1,1,3,-1,0
22942,7,29.99,0,1,2,1,2,1,0
49453,9,29.99,1,0,1,1,2,-1,0
25128,2,29.99,1,0,2,0,2,0,0
42174,10,180.64,1,0,2,1,1,-1,0
60710,11,47.15,0,1,1,0,1,1,0
45990,1,412.85,0,1,1,0,2,0,0
11444,1,219.33,1,1,2,0,1,0,0
20461,9,485.45,0,1,2,0,1,1,1
51051,2,506.1,1,0,2,1,2,-1,0
26627,10,186.01,1,0,1,1,1,0,0
60068,9,75.21,1,0,2,0,2,1,0
46480,10,105.42,1,0,1,0,2,-1,0
11468,8,29.99,0,1,1,0,2,0,0
57041,9,62.56,1,0,2,1,1,0,0
25353,1,94.32,0,1,2,1,2,-1,0
28673,9,379.92,0,1,1,1,1,-1,0
19514,7,138.54,0,1,2,1,1,1,0
32672,9,29.99,1,0,1,0,2,0,0
26287,10,629.11,0,1,1,1,2,0,0
62495,7,67.21,0,1,1,0,1,1,0
28548,3,70.02,1,0,1,1,1,0,0
28226,6,576.55,1,0,2,1,1,0,0
33431,7,312.6,0,1,2,0,3,1,0
47760,5,36.05,1,0,2,1,1,-1,0
24029,5,29.99,1,0,1,0,1,0,0
5642,1,151.39,0,1,1,1,2,1,0
37599,1,198.8,0,1,2,1,2,0,0
21246,2,127.07,0,1,1,0,1,1,0
3215,12,192.77,1,0,1,0,1,-1,0
10205,11,224.04,1,0,1,1,2,1,0
21056,9,48.26,1,0,1,0,2,0,0
19084,9,98.64,0,1,2,0,1,1,0
27915,4,29.99,0,1,2,1,2,-1,0
48919,9,185.56,1,0,2,1,2,-1,0
12901,10,227.13,1,0,2,0,2,0,0
50392,4,29.99,0,1,1,0,2,1,0
53767,5,270.78,1,0,1,0,1,0,0
37109,1,477.29,1,0,1,1,3,1,0
31816,7,29.99,0,1,1,0,2,1,0
56619,3,460.51,1,1,1,0,3,0,0
36930,10,29.99,0,1,1,1,1,-1,0
62800,3,408.76,0,1,1,0,3,0,0
45465,5,301.16,1,1,2,1,3,1,0
62737,10,378.7,0,1,2,0,3,1,1
12716,11,226.11,1,0,2,1,1,1,0
4835,9,42.1,1,0,1,1,1,-1,0
52582,2,488.17,0,1,2,0,1,1,0
62630,9,160.37,1,0,1,1,1,1,0
17859,7,60.81,1,0,1,0,2,-1,0
16933,3,219.53,1,1,1,0,1,0,1
40524,4,396.68,0,1,2,0,2,0,0
23000,2,141.64,1,0,1,1,2,1,1
1587,8,210.72,0,1,1,1,1,-1,0
40450,6,31.19,1,0,1,1,2,1,0
30856,1,279.48,0,1,1,1,1,1,0
16897,3,102.9,1,0,2,0,2,-1,0
15442,1,475.64,1,0,3,0,2,0,1
53387,10,255.89,1,0,1,1,2,1,0
19631,10,32.28,0,1,1,0,2,0,0
27149,4,103.66,1,0,3,0,2,1,0
1993,11,29.99,0,1,1,0,2,1,0
43045,4,408.26,0,1,1,1,1,-1,0
3363,5,29.99,0,1,1,1,2,1,0
12771,10,29.99,1,0,1,1,2,0,0
48422,9,115.27,1,0,1,0,1,-1,0
18008,7,59.98,1,0,1,1,1,-1,0
59396,2,98.95,1,0,1,0,2,1,1
54198,6,80.05,1,0,2,1,2,-1,1
11779,11,29.99,1,0,2,0,2,0,0
39969,6,94.85,1,0,1,0,1,0,0
4677,1,796.71,1,0,1,1,2,0,1
22842,3,305.59,1,0,1,0,1,1,0
44040,8,214.83,1,1,3,0,2,-1,1
62098,9,110.99,0,1,3,1,1,0,0
49778,11,618.75,1,1,3,1,3,-1,0
13158,3,548.94,0,1,1,1,3,0,0
52632,6,237.7,1,0,1,1,2,-1,0
54346,11,120.15,1,0,1,1,1,1,0
40021,2,130.34,1,0,1,1,1,1,0
29615,8,370.72,0,1,3,1,2,-1,0
46481,3,214.86,1,0,2,1,1,1,1
53392,8,53.3,0,1,1,1,2,1,0
26047,11,311.22,0,1,2,0,1,-1,0
62999,3,153.51,0,1,2,0,1,1,0
46827,1,594.26,1,0,1,1,2,1,0
24085,2,399.97,0,1,1,0,1,-1,0
12892,10,358.96,0,1,1,0,3,-1,0
187,7,39.78,0,1,1,0,1,-1,0
47426,10,29.99,1,0,1,0,1,0,0
3898,3,929.85,0,1,2,1,3,0,0
32599,2,136.13,0,1,2,1,1,0,0
52642,3,44.36,0,1,2,0,2,0,0
10780,3,237.33,1,0,1,0,1,1,0
48560,9,277.03,1,0,1,1,3,-1,0
27524,11,29.99,1,0,2,1,2,0,0
53367,8,29.99,1,0,1,0,2,1,0
63601,5,261.4,1,0,1,0,1,1,0
5965,6,121.29,1,0,1,1,2,-1,0
25598,6,29.99,1,0,1,1,2,1,0
15607,8,278.2,1,1,1,0,2,1,0
8869,9,29.99,0,1,1,0,2,1,0
30136,6,921.56,1,0,1,1,2,0,0
62818,2,404.04,1,0,2,0,2,-1,0
45076,10,29.99,0,1,2,0,1,1,0
37862,8,29.99,0,1,3,0,2,-1,0
59478,11,354.76,1,0,2,1,1,1,0
46815,9,29.99,1,0,1,0,2,1,0
59221,10,29.99,0,1,2,1,1,1,0
21300,8,325.88,1,0,1,0,2,-1,1
46808,6,798.32,1,1,1,1,2,-1,0
59730,5,330.44,1,0,1,1,3,-1,0
9514,5,496.22,1,0,1,1,1,1,0
10638,7,279.82,1,1,1,0,3,1,0
38635,11,262.82,1,0,1,0,3,-1,0
11798,12,61.23,0,1,1,1,1,0,0
11412,1,108.65,0,1,2,0,2,0,0
41945,10,37.85,1,0,2,0,2,-1,0
944,3,121.46,1,0,2,1,2,1,0
41229,2,179.65,0,1,1,0,2,0,0
6394,4,164.49,0,1,1,0,2,0,1
6583,6,43.72,0,1,2,0,1,1,0
25799,1,178.43,0,1,1,1,1,1,1
40935,5,98.16,0,1,1,1,2,0,0
5537,10,286.52,0,1,1,1,1,0,0
59854,2,185.09,0,1,2,1,2,0,0
9150,1,540.21,0,1,1,1,3,-1,0
59808,3,233.81,1,0,1,1,1,-1,0
5994,6,393.51,1,1,1,0,1,-1,1
21230,1,153.21,0,1,1,0,1,0,0
12200,2,134.11,0,1,2,1,2,0,0
14958,1,389.26,1,0,1,0,1,-1,0
4134,9,67.8,0,1,1,0,1,1,0
37117,1,582.08,0,1,1,1,3,0,0
4670,10,85.87,0,1,2,0,1,0,0
16871,4,426.91,1,0,1,0,2,0,0
53880,7,29.99,1,0,1,1,1,0,0
17507,3,569.96,1,1,2,1,1,0,0
35611,6,86.29,1,0,2,0,2,-1,0
13067,12,113.87,0,1,1,1,2,-1,0
16313,5,179.74,0,1,2,0,2,-1,0
254,2,56.25,1,0,1,1,2,-1,0
5196,5,29.99,1,0,3,1,2,0,0
19462,1,464.73,0,1,1,0,2,0,1
19695,4,46.1,1,0,1,0,2,-1,0
25448,10,184.74,1,0,1,1,2,-1,0
39315,2,389.9,1,0,2,0,1,-1,1
46068,1,92.16,0,1,1,1,2,0,0
53324,12,392.87,0,1,2,0,2,-1,0
55394,3,152.58,1,0,2,0,1,-1,0
20950,1,244.1,1,0,3,1,2,1,0
17456,2,576.09,1,0,2,1,3,-1,1
40746,6,120.3,1,0,2,0,1,-1,0
31371,6,126.87,0,1,1,1,1,1,0
21226,6,181.01,0,1,3,0,2,1,0
62026,2,29.99,1,0,1,1,1,1,0
41211,2,158.65,1,0,3,0,2,1,0
27231,5,41.95,1,0,2,0,2,1,0
5182,11,29.99,1,0,1,1,2,1,0
27936,7,29.99,0,1,2,0,2,-1,0
14624,12,291.07,1,0,3,0,1,0,0
22765,2,399.53,1,0,1,0,1,0,0
23495,6,277.37,1,1,2,1,1,0,0
50353,6,568.77,1,1,1,1,1,-1,1
22809,6,85.03,0,1,2,1,1,0,0
37840,1,353.45,1,0,1,0,1,-1,0
3694,11,838.13,1,0,3,1,2,-1,0
39015,2,658.99,1,1,1,1,1,1,0
58559,10,83.23,0,1,2,1,2,0,0
5793,11,163.91,0,1,2,0,2,0,0
60291,1,332.0,1,1,2,1,2,0,0
48678,3,535.14,1,0,2,1,2,0,0
20617,10,194.78,0,1,1,0,1,0,0
20789,8,349.39,1,0,1,0,2,0,0
22597,2,202.62,1,0,1,1,3,0,0
41744,10,121.07,0,1,1,0,1,0,0
14248,9,49.7,0,1,3,0,2,-1,1
39708,10,600.02,1,0,2,1,3,1,0
27280,8,30.26,0,1,3,0,1,-1,1
6778,5,96.48,1,0,1,1,2,-1,1
33697,1,763.02,1,0,2,1,1,0,0
34560,8,224.2,1,0,2,0,1,0,0
3117,9,29.99,1,0,2,1,2,-1,0
63887,10,46.87,1,0,1,1,2,-1,0
37421,12,42.4,0,1,3,0,2,1,0
27107,2,102.38,1,0,2,1,1,-1,0
11606,8,424.52,0,1,1,0,1,0,0
13086,4,162.64,0,1,1,0,2,-1,0
1916,1,224.09,1,0,2,1,1,1,0
48575,2,519.28,1,0,2,1,1,0,0
37255,10,298.48,0,1,1,0,2,1,0
7938,1,489.97,0,1,1,0,3,-1,0
17999,1,205.15,0,1,1,0,2,0,0
42922,1,468.55,0,1,1,1,1,0,0
59014,9,109.42,0,1,2,0,1,-1,0
62001,12,645.36,1,0,2,1,2,1,0
1725,1,716.38,1,1,3,1,3,-1,1
23201,1,62.45,1,0,1,0,1,1,0
12671,9,29.99,0,1,1,1,1,0,0
50282,4,29.99,0,1,1,1,1,0,0
25115,11,128.43,1,0,2,1,2,0,0
42793,3,46.15,1,0,2,0,1,1,0
48788,4,406.35,1,1,1,1,3,0,0
55396,7,152.51,1,0,2,0,1,1,0
33754,10,80.78,0,1,3,0,2,1,0
60758,11,74.31,0,1,2,1,2,-1,0
19652,9,166.84,0,1,1,1,2,1,0
7279,5,628.07,1,1,1,1,3,0,0
5693,3,65.95,0,1,1,0,2,0,0
15232,6,146.97,0,1,1,0,2,1,0
36023,2,235.87,0,1,2,0,2,0,1
26550,1,33.08,0,1,2,1,2,0,0
35141,6,152.83,1,0,1,0,1,0,0
32718,9,29.99,1,0,2,1,2,0,0
40686,10,29.99,0,1,1,1,1,-1,0
60284,2,289.19,0,1,2,1,1,1,0
26714,11,29.99,1,0,1,0,2,1,0
49503,1,357.79,0,1,2,1,2,-1,0
58680,2,57.26,1,0,1,1,1,-1,0
31647,4,268.25,0,1,2,0,3,1,0
56202,2,602.05,0,1,1,1,3,1,1
29568,2,306.88,0,1,2,0,1,1,1
7288,6,32.9,1,0,2,1,2,-1,0
2090,1,302.63,1,0,2,0,1,0,0
28718,10,283.01,0,1,1,0,1,1,1
16007,1,612.0,1,0,1,1,2,-1,0
21907,4,31.35,0,1,2,0,2,1,0
13040,8,272.9,0,1,1,0,1,-1,0
12127,7,209.28,1,0,1,1,2,0,0
1958,8,77.33,0,1,2,1,2,-1,0
7654,3,611.37,0,1,1,1,2,1,0
47469,1,336.05,0,1,1,1,1,1,0
58017,2,40.79,0,1,2,1,2,0,0
29889,2,854.6,1,1,2,1,1,0,0
18218,5,120.19,1,0,2,0,2,0,0
31806,2,113.53,1,0,1,1,2,0,0
42744,8,212.35,0,1,3,0,1,-1,0
58062,2,29.99,1,0,2,0,2,-1,0
15897,8,133.4,0,1,2,1,2,-1,0
3206,6,195.27,0,1,2,0,1,0,0
5140,4,338.1,1,0,2,0,1,0,0
14447,7,146.12,1,0,1,1,2,1,0
61367,4,29.99,0,1,2,1,1,0,0
4863,3,405.86,1,0,1,1,3,-1,0
42107,10,249.7,0,1,2,1,2,0,0
13690,4,159.09,0,1,1,1,1,1,0
55888,10,39.87,1,0,3,1,1,1,0
38324,4,154.77,1,0,1,0,2,1,0
14612,10,380.72,1,0,1,1,1,1,0
37348,1,102.32,0,1,2,0,1,1,0
9363,6,100.44,0,1,1,0,1,1,0
56926,7,98.02,0,1,3,1,2,1,0
6282,4,178.35,1,0,1,0,1,0,0
21788,3,266.66,1,0,1,1,1,1,1
43256,11,228.25,1,0,1,0,2,1,0
63338,4,511.62,0,1,1,1,2,1,0
54122,3,71.89,1,0,3,1,2,-1,0
35856,9,486.15,1,0,3,0,3,1,0
43943,6,48.88,1,0,2,1,2,0,0
56705,1,132.3,1,0,1,1,1,0,0
37372,4,288.01,0,1,1,0,3,-1,0
38611,10,734.06,1,0,2,1,2,0,0
24454,7,314.65,1,1,1,0,2,1,0
19524,1,479.03,0,1,1,1,2,0,0
11909,2,605.11,1,1,1,1,1,1,0
442,7,287.73,1,1,2,0,1,0,1
54801,9,267.18,0,1,1,1,2,0,0
3792,4,244.91,0,1,3,0,2,-1,0
12217,11,29.99,0,1,3,1,2,-1,0
50460,3,489.11,1,0,1,0,1,-1,1
51983,6,171.11,0,1,2,0,2,0,0
5041,4,540.53,1,1,1,1,3,0,0
33489,7,273.76,0,1,1,0,1,0,0
12132,4,392.91,0,1,1,1,1,1,0
28427,8,54.14,1,0,1,0,2,-1,1
27672,5,329.69,1,1,1,1,2,0,1
27419,7,40.21,1,0,1,1,1,-1,0
41986,9,375.58,1,0,2,0,2,-1,0
61527,1,53.92,0,1,3,0,2,0,1
50305,5,367.27,0,1,3,0,2,-1,0
50571,3,169.27,1,0,1,0,1,1,0
7954,1,421.05,0,1,2,0,2,1,0
37688,2,110.58,1,0,2,1,2,-1,0
23412,5,406.35,1,0,2,0,3,1,0
41114,7,34.64,1,0,1,1,2,0,0
60777,10,145.87,1,0,1,0,2,-1,0
15362,6,480.45,1,0,2,0,3,1,0
46230,3,72.63,1,0,3,1,1,-1,0
52576,10,352.12,0,1,1,0,3,1,0
51411,6,32.06,0,1,2,1,1,-1,0
27025,1,855.6,0,1,1,1,2,0,0
63073,3,29.99,1,0,3,0,2,1,0
34071,12,153.17,0,1,3,0,2,0,0
21505,12,260.96,0,1,1,1,3,1,0
38676,9,622.38,1,0,2,1,3,1,0
2921,8,171.86,0,1,2,0,2,1,0
30825,3,29.99,1,0,2,0,2,-1,0
35724,4,107.95,1,0,1,0,2,-1,0
50239,6,200.59,1,0,2,0,2,0,0
31084,10,447.17,0,1,1,0,2,-1,0
9688,7,301.56,0,1,2,0,3,0,0
10491,7,150.44,0,1,2,0,2,0,0
4062,3,36.68,1,0,2,0,2,-1,1
40206,1,271.45,1,0,1,1,2,1,0
21201,3,412.41,1,1,2,0,1,1,0
34045,4,229.51,1,0,2,1,3,1,0
55953,11,176.18,0,1,1,1,2,-1,0
21955,12,29.99,0,1,1,0,1,1,0
1461,6,212.65,1,0,2,1,2,1,0
44036,9,29.99,1,0,2,1,2,1,0
39151,6,355.97,0,1,2,1,1,0,0
28509,1,222.99,0,1,1,0,2,0,0
33252,10,246.96,1,1,3,0,2,0,0
45068,9,205.8,0,1,2,0,2,-1,0
13312,11,71.6,0,1,1,1,1,1,0
44203,3,81.44,0,1,1,0,1,1,0
60326,3,353.07,0,1,3,0,1,0,0
58713,8,162.46,0,1,2,0,1,1,1
41433,10,167.66,0,1,1,0,1,1,0
36823,12,934.26,1,1,2,1,1,0,0
49382,1,53.37,1,0,2,0,1,-1,0
6067,4,359.46,0,1,3,0,2,0,0
30263,6,189.44,0,1,2,0,2,1,0
38757,3,32.55,0,1,2,0,2,-1,0
29765,1,354.27,1,0,1,0,2,-1,1
47866,2,175.85,0,1,2,0,2,-1,1
53784,2,487.7,1,0,3,0,3,0,1
5813,9,251.94,0,1,2,0,1,0,0
39069,1,315.77,0,1,1,0,1,0,0
10464,10,38.88,0,1,3,0,1,-1,0
2220,9,137.38,1,0,3,0,1,0,0
16952,11,32.81,1,0,2,1,1,0,0
7325,6,400.19,0,1,2,1,1,0,0
23421,2,202.63,0,1,1,1,2,-1,1
60231,12,237.72,1,0,2,0,3,0,0
22044,1,181.92,0,1,1,0,1,-1,0
59172,3,433.5,1,0,2,0,1,0,0
14704,5,127.03,1,0,2,0,1,0,0
22702,4,446.08,1,0,1,0,1,0,0
55138,2,182.21,0,1,3,0,1,-1,0
4448,8,536.31,1,0,1,1,2,-1,0
39385,3,287.72,0,1,1,1,1,0,0
48546,8,76.58,1,0,1,0,1,0,0
34351,2,108.73,0,1,1,1,2,1,0
24660,2,164.61,1,0,2,1,1,0,0
57778,4,418.46,1,0,2,0,2,-1,0
19613,2,890.27,1,0,1,1,2,0,0
3994,9,456.49,1,1,1,0,2,0,0
52927,9,31.46,0,1,2,1,1,0,0
20817,11,301.27,0,1,2,0,3,-1,0
51781,4,38.91,0,1,2,0,1,1,0
27555,11,29.99,0,1,3,1,1,1,0
24420,9,36.85,0,1,2,0,1,0,0
35972,8,57.7,1,0,2,1,1,1,0
62731,11,54.01,1,0,1,1,1,0,0
60689,11,178.64,0,1,1,1,2,-1,1
36760,1,256.21,1,0,2,0,2,0,0
42220,11,66.2,0,1,1,0,1,-1,0
39377,4,532.22,0,1,1,1,3,1,0
32630,3,29.99,1,0,3,0,2,1,0
4236,2,410.73,1,1,2,1,3,1,1
13696,12,166.2,0,1,2,1,2,1,1
3370,6,173.02,0,1,3,0,2,0,0
49512,10,109.34,1,0,2,1,1,0,0
14184,2,274.55,0,1,2,1,1,1,0
36784,9,133.32,0,1,2,1,2,0,0
18707,8,564.7,1,1,3,1,2,0,0
33894,10,206.01,0,1,2,0,3,-1,0
38119,1,98.96,1,0,2,0,2,0,0
9712,2,30.29,0,1,2,0,1,0,0
14905,10,326.93,1,0,2,0,3,-1,0
11993,1,476.45,0,1,2,0,2,1,0
51224,10,148.22,0,1,1,0,2,0,0
28328,6,93.83,1,0,2,0,2,-1,0
31740,9,553.6,0,1,3,1,3,0,1
7401,7,29.99,0,1,1,1,2,0,0
20144,7,274.47,1,0,3,0,1,1,1
52976,2,441.05,1,0,1,0,1,-1,0
60212,9,73.17,1,0,1,1,2,0,0
17650,4,1378.95,1,1,1,1,3,0,0
46524,4,390.6,0,1,2,1,1,0,1
23301,1,164.22,1,0,2,1,1,-1,0
43601,6,29.99,0,1,1,1,2,0,0
27687,1,432.85,0,1,1,0,3,0,0
33141,10,199.43,1,0,2,0,2,-1,0
46544,10,122.67,0,1,1,1,2,0,0
34828,1,80.91,0,1,2,0,1,0,0
11818,9,29.99,0,1,3,0,1,0,0
63794,7,53.47,0,1,3,1,2,1,0
25256,10,334.91,1,1,2,1,1,-1,0
50715,1,576.93,1,1,2,1,2,0,0
60841,10,749.2,1,1,2,1,2,1,0
16291,1,164.61,0,1,1,0,2,0,0
22728,5,29.99,1,0,1,1,1,-1,0
40436,1,333.49,0,1,1,0,3,-1,0
45595,3,803.36,0,1,3,1,2,0,0
49808,9,71.21,1,0,1,1,1,0,0
60768,10,254.73,1,1,2,1,1,-1,0
47533,3,202.66,1,0,1,1,2,1,0
7945,5,150.44,1,0,2,1,1,1,0
17542,3,301.23,0,1,2,1,1,-1,0
585,4,302.86,0,1,1,1,2,1,0
61542,5,969.46,1,1,1,1,2,1,0
8834,1,785.19,1,1,1,1,2,1,0
15143,10,29.99,1,0,3,1,2,1,0
40252,11,78.74,0,1,2,1,2,0,0
221,4,52.12,1,0,2,0,2,-1,0
22391,3,94.88,1,0,3,1,1,-1,0
19091,1,103.48,0,1,1,0,2,-1,0
43230,7,75.02,1,0,1,1,1,0,0
17159,10,29.99,0,1,2,0,1,1,0
7788,10,99.61,0,1,1,0,1,0,0
5683,5,222.06,0,1,2,0,1,0,0
13680,8,621.2,1,0,1,1,1,-1,0
33551,7,176.75,0,1,2,0,1,1,0
32335,10,29.99,0,1,2,0,1,-1,1
44204,11,65.67,1,0,3,1,1,-1,1
5000,1,54.18,0,1,2,1,2,-1,0
28040,3,696.6,0,1,1,1,1,0,0
50500,11,29.99,0,1,2,0,2,1,0
